No,year,month,day,hour,PM2.5,PM10,SO2,NO2,CO,O3,TEMP,PRES,DEWP,RAIN,wd,WSPM,station,date_time,date_time_month,RAIN_GROUP
19213,2015,5,10,12,45.0,45.0,2.0,57.0,1500.0,25.0,8.6,1011.8,7.8,1.1,E,1.8,Dongsi,2015-05-10 12:00:00,2015-05,Light Rain
19214,2015,5,10,13,44.0,44.0,2.0,59.0,1500.0,24.0,8.6,1011.4,7.7,3.0,NNE,1.8,Dongsi,2015-05-10 13:00:00,2015-05,Light Rain
19215,2015,5,10,14,46.0,46.0,3.0,56.0,1400.0,30.0,8.9,1011.7,7.8,5.2,N,2.6,Dongsi,2015-05-10 14:00:00,2015-05,Moderate Rain
19216,2015,5,10,15,43.0,43.0,4.0,56.0,1700.0,26.0,8.9,1011.0,7.8,3.7,NNE,1.8,Dongsi,2015-05-10 15:00:00,2015-05,Light Rain
19217,2015,5,10,16,40.0,40.0,3.0,57.0,1600.0,27.0,8.8,1009.7,8.0,3.5,ENE,2.0,Dongsi,2015-05-10 16:00:00,2015-05,Light Rain
19218,2015,5,10,17,31.0,31.0,4.0,48.0,1400.0,37.0,9.0,1010.0,8.1,3.2,N,2.3,Dongsi,2015-05-10 17:00:00,2015-05,Light Rain
19219,2015,5,10,18,31.0,31.0,4.0,44.0,1400.0,40.0,8.8,1009.6,7.9,3.9,NNE,1.5,Dongsi,2015-05-10 18:00:00,2015-05,Light Rain
19220,2015,5,10,19,32.0,32.0,4.0,44.0,1400.0,38.0,9.0,1009.7,8.2,2.1,NNE,1.3,Dongsi,2015-05-10 19:00:00,2015-05,Light Rain
19221,2015,5,10,20,34.0,34.0,4.0,42.0,1400.0,36.0,9.1,1009.9,8.2,0.8,NNE,1.5,Dongsi,2015-05-10 20:00:00,2015-05,No Rain
19384,2015,5,17,15,149.0,196.0,34.0,35.0,1400.0,188.0,26.4,991.4,15.7,0.1,S,1.1,Dongsi,2015-05-17 15:00:00,2015-05,No Rain
19388,2015,5,17,19,191.0,228.0,8.0,74.0,1600.0,95.0,23.2,991.3,18.1,0.8,NNW,1.3,Dongsi,2015-05-17 19:00:00,2015-05,No Rain
19389,2015,5,17,20,185.0,185.0,12.0,72.0,1800.0,103.0,22.6,991.7,19.6,0.1,N,0.6,Dongsi,2015-05-17 20:00:00,2015-05,No Rain
19391,2015,5,17,22,223.0,229.0,7.0,98.0,2200.0,35.0,21.9,994.1,17.7,0.9,NNW,1.3,Dongsi,2015-05-17 22:00:00,2015-05,No Rain
19662,2015,5,29,5,96.0,112.0,7.0,38.0,1100.0,55.0,20.9,1001.2,17.1,0.5,SSW,0.9,Dongsi,2015-05-29 05:00:00,2015-05,No Rain
19663,2015,5,29,6,91.0,91.0,5.0,44.0,1100.0,52.0,20.1,1001.1,18.0,0.2,ESE,0.7,Dongsi,2015-05-29 06:00:00,2015-05,No Rain
19811,2015,6,4,10,55.0,72.0,9.0,74.0,800.0,42.0,21.7,1001.5,15.1,0.2,SW,0.4,Dongsi,2015-06-04 10:00:00,2015-06,No Rain
19812,2015,6,4,11,44.0,59.0,10.0,61.0,800.0,72.0,20.6,1001.5,13.3,0.3,SSW,2.1,Dongsi,2015-06-04 11:00:00,2015-06,No Rain
19813,2015,6,4,12,57.0,71.0,9.0,62.0,900.0,59.0,19.8,1000.8,14.8,1.0,SSW,1.9,Dongsi,2015-06-04 12:00:00,2015-06,No Rain
19814,2015,6,4,13,61.0,61.0,8.0,37.0,900.0,79.0,19.1,999.6,14.6,0.9,SW,1.8,Dongsi,2015-06-04 13:00:00,2015-06,No Rain
19815,2015,6,4,14,53.0,53.0,5.0,33.0,900.0,78.0,18.4,999.2,14.7,0.9,SW,3.7,Dongsi,2015-06-04 14:00:00,2015-06,No Rain
19816,2015,6,4,15,40.0,40.0,4.0,32.0,10000.0,74.0,17.8,998.8,15.8,1.9,S,1.9,Dongsi,2015-06-04 15:00:00,2015-06,Light Rain
19817,2015,6,4,16,50.0,50.0,3.0,35.0,1100.0,69.0,18.5,998.1,15.7,0.3,SW,3.3,Dongsi,2015-06-04 16:00:00,2015-06,No Rain
19825,2015,6,5,0,47.0,47.0,6.0,47.0,1100.0,47.0,19.1,996.0,13.7,0.1,W,1.8,Dongsi,2015-06-05 00:00:00,2015-06,No Rain
19843,2015,6,5,18,42.0,87.0,12.0,31.0,800.0,174.0,29.0,993.6,14.0,0.3,WSW,3.1,Dongsi,2015-06-05 18:00:00,2015-06,No Rain
19844,2015,6,5,19,68.0,109.0,11.0,62.0,1000.0,131.0,25.0,994.0,16.4,0.5,NNE,0.9,Dongsi,2015-06-05 19:00:00,2015-06,No Rain
19845,2015,6,5,20,66.0,113.0,9.0,61.0,1100.0,126.0,24.0,994.3,17.3,0.2,WNW,0.7,Dongsi,2015-06-05 20:00:00,2015-06,No Rain
19865,2015,6,6,16,55.0,90.0,4.0,32.0,7000.0,169.0,26.9,997.8,13.6,0.1,NNE,1.3,Dongsi,2015-06-06 16:00:00,2015-06,No Rain
19868,2015,6,6,19,29.0,102.0,2.0,32.0,6000.0,78.0,21.8,999.7,18.6,2.6,NNW,0.9,Dongsi,2015-06-06 19:00:00,2015-06,Light Rain
19869,2015,6,6,20,46.0,57.0,2.0,58.0,10000.0,46.0,20.1,999.7,18.4,0.2,SE,1.2,Dongsi,2015-06-06 20:00:00,2015-06,No Rain
19875,2015,6,7,2,9.0,32.0,2.0,52.0,5000.0,27.0,16.3,1003.1,14.7,0.1,NE,1.0,Dongsi,2015-06-07 02:00:00,2015-06,No Rain
19876,2015,6,7,3,17.0,24.0,2.0,64.0,7000.0,9.0,15.6,1003.4,14.5,0.1,WSW,0.3,Dongsi,2015-06-07 03:00:00,2015-06,No Rain
19915,2015,6,8,18,36.0,48.0,2.0,23.0,300.0,121.0,27.5,997.7,9.8,0.2,WSW,4.3,Dongsi,2015-06-08 18:00:00,2015-06,No Rain
19941,2015,6,9,20,93.0,137.0,22.0,49.0,1700.0,150.0,24.2,997.4,15.7,0.2,ENE,1.0,Dongsi,2015-06-09 20:00:00,2015-06,No Rain
19943,2015,6,9,22,80.0,147.0,17.0,44.0,1500.0,107.0,22.8,1000.4,16.3,0.7,NNW,1.6,Dongsi,2015-06-09 22:00:00,2015-06,No Rain
19944,2015,6,9,23,86.0,86.0,10.0,46.0,1400.0,91.0,21.7,998.1,16.0,0.2,N,3.2,Dongsi,2015-06-09 23:00:00,2015-06,No Rain
19947,2015,6,10,2,49.0,53.0,2.0,28.0,900.0,47.0,19.1,997.8,17.4,2.2,ESE,2.6,Dongsi,2015-06-10 02:00:00,2015-06,Light Rain
19948,2015,6,10,3,48.0,48.0,2.0,24.0,900.0,56.0,18.6,996.9,16.7,0.5,NE,2.5,Dongsi,2015-06-10 03:00:00,2015-06,No Rain
19954,2015,6,10,9,62.0,62.0,4.0,43.0,1100.0,83.0,20.8,997.0,16.0,0.1,N,2.0,Dongsi,2015-06-10 09:00:00,2015-06,No Rain
20022,2015,6,13,5,4.0,20.0,4.0,23.0,300.0,67.0,19.9,998.3,14.9,0.4,NE,2.6,Dongsi,2015-06-13 05:00:00,2015-06,No Rain
20023,2015,6,13,6,7.0,19.0,3.0,14.0,300.0,79.0,18.9,999.0,15.6,0.4,NNE,2.1,Dongsi,2015-06-13 06:00:00,2015-06,No Rain
20024,2015,6,13,7,6.0,9.0,4.0,22.0,400.0,63.0,18.4,999.7,16.2,0.9,NE,2.4,Dongsi,2015-06-13 07:00:00,2015-06,No Rain
20025,2015,6,13,8,5.0,13.0,5.0,22.0,400.0,58.0,19.2,1000.6,16.1,0.2,NE,1.9,Dongsi,2015-06-13 08:00:00,2015-06,No Rain
20038,2015,6,13,21,31.0,59.0,6.0,28.0,600.0,114.0,23.0,1004.2,14.6,0.1,ENE,3.8,Dongsi,2015-06-13 21:00:00,2015-06,No Rain
20039,2015,6,13,22,25.0,58.0,5.0,31.0,600.0,90.0,21.0,1004.3,16.2,0.3,NE,1.2,Dongsi,2015-06-13 22:00:00,2015-06,No Rain
20134,2015,6,17,21,71.0,103.0,4.0,117.0,1600.0,44.0,24.6,1000.2,21.1,0.5,E,1.6,Dongsi,2015-06-17 21:00:00,2015-06,No Rain
20135,2015,6,17,22,58.0,82.0,5.0,77.0,1100.0,73.0,24.2,1001.0,19.9,0.2,E,1.6,Dongsi,2015-06-17 22:00:00,2015-06,No Rain
20166,2015,6,19,5,5.0,21.0,4.0,15.0,400.0,60.0,18.7,1004.5,15.2,1.0,E,1.0,Dongsi,2015-06-19 05:00:00,2015-06,No Rain
20167,2015,6,19,6,6.0,11.0,5.0,19.0,500.0,47.0,17.4,1004.7,14.1,0.5,NNE,2.5,Dongsi,2015-06-19 06:00:00,2015-06,No Rain
20168,2015,6,19,7,6.0,11.0,4.0,20.0,500.0,45.0,16.9,1005.2,14.5,0.5,NE,1.8,Dongsi,2015-06-19 07:00:00,2015-06,No Rain
20169,2015,6,19,8,11.0,11.0,3.0,24.0,500.0,41.0,16.5,1005.5,14.9,1.0,ENE,1.9,Dongsi,2015-06-19 08:00:00,2015-06,No Rain
20170,2015,6,19,9,6.0,11.0,3.0,28.0,600.0,37.0,17.0,1005.6,15.3,1.2,ENE,1.7,Dongsi,2015-06-19 09:00:00,2015-06,Light Rain
20171,2015,6,19,10,11.0,24.0,4.0,38.0,700.0,31.0,20.2,1006.0,15.6,0.1,E,2.6,Dongsi,2015-06-19 10:00:00,2015-06,No Rain
20176,2015,6,19,15,49.0,55.0,7.0,22.0,1100.0,87.0,18.5,1007.3,15.4,4.8,ENE,1.8,Dongsi,2015-06-19 15:00:00,2015-06,Moderate Rain
20177,2015,6,19,16,27.0,28.0,4.0,26.0,900.0,58.0,20.5,1007.2,15.1,0.2,NE,1.2,Dongsi,2015-06-19 16:00:00,2015-06,No Rain
20178,2015,6,19,17,25.0,25.0,5.0,26.0,900.0,63.0,22.3,1007.0,14.2,0.1,ENE,1.7,Dongsi,2015-06-19 17:00:00,2015-06,No Rain
20259,2015,6,23,2,215.0,243.0,23.0,61.0,2100.0,73.0,23.6,1002.9,18.9,0.3,ENE,1.8,Dongsi,2015-06-23 02:00:00,2015-06,No Rain
20331,2015,6,26,2,118.0,118.0,2.0,20.0,900.0,86.0,21.1,995.6,19.4,5.3,SSW,0.7,Dongsi,2015-06-26 02:00:00,2015-06,Moderate Rain
20332,2015,6,26,3,117.0,117.0,2.0,20.0,800.0,72.0,20.8,995.7,19.6,9.6,S,0.3,Dongsi,2015-06-26 03:00:00,2015-06,Heavy Rain
20334,2015,6,26,5,116.0,116.0,2.0,18.0,1000.0,104.0,20.6,996.2,20.1,2.6,E,1.4,Dongsi,2015-06-26 05:00:00,2015-06,Light Rain
20335,2015,6,26,6,108.0,108.0,2.0,23.0,1400.0,94.0,20.5,996.1,20.0,0.9,ENE,1.3,Dongsi,2015-06-26 06:00:00,2015-06,No Rain
20336,2015,6,26,7,123.0,123.0,2.0,36.0,1200.0,77.0,20.8,996.6,20.3,0.4,E,1.3,Dongsi,2015-06-26 07:00:00,2015-06,No Rain
20337,2015,6,26,8,122.0,122.0,2.0,44.0,1200.0,71.0,21.6,997.1,20.2,0.1,ESE,0.9,Dongsi,2015-06-26 08:00:00,2015-06,No Rain
20350,2015,6,26,21,160.0,160.0,2.0,27.0,1400.0,146.0,23.3,997.6,21.2,2.6,W,2.3,Dongsi,2015-06-26 21:00:00,2015-06,Light Rain
20351,2015,6,26,22,63.0,63.0,2.0,24.0,900.0,108.0,21.7,998.1,18.5,0.3,NNW,3.4,Dongsi,2015-06-26 22:00:00,2015-06,No Rain
20352,2015,6,26,23,20.0,20.0,2.0,29.0,700.0,95.0,21.2,998.4,19.1,0.1,S,0.4,Dongsi,2015-06-26 23:00:00,2015-06,No Rain
20416,2015,6,29,15,12.0,12.0,3.0,24.0,500.0,62.0,20.1,1002.5,17.9,0.8,ESE,3.3,Dongsi,2015-06-29 15:00:00,2015-06,No Rain
20417,2015,6,29,16,19.0,19.0,2.0,20.0,500.0,59.0,19.0,1003.0,18.0,1.4,E,3.0,Dongsi,2015-06-29 16:00:00,2015-06,Light Rain
20418,2015,6,29,17,22.0,22.0,2.0,24.0,600.0,54.0,18.6,1003.3,17.8,0.3,ENE,2.2,Dongsi,2015-06-29 17:00:00,2015-06,No Rain
20420,2015,6,29,19,29.0,29.0,2.0,44.0,700.0,31.0,18.4,1004.3,17.7,0.1,ENE,1.5,Dongsi,2015-06-29 19:00:00,2015-06,No Rain
20421,2015,6,29,20,32.0,32.0,2.0,37.0,700.0,36.0,18.5,1004.6,17.0,0.4,E,1.5,Dongsi,2015-06-29 20:00:00,2015-06,No Rain
20431,2015,6,30,6,10.0,10.0,2.0,44.0,500.0,10.0,19.5,1002.1,15.6,0.1,WNW,2.3,Dongsi,2015-06-30 06:00:00,2015-06,No Rain
20432,2015,6,30,7,12.0,12.0,2.0,22.0,400.0,37.0,18.1,1002.5,13.4,0.1,NW,3.3,Dongsi,2015-06-30 07:00:00,2015-06,No Rain
20433,2015,6,30,8,6.0,14.0,2.0,29.0,500.0,38.0,18.3,1002.5,13.8,0.2,NW,3.3,Dongsi,2015-06-30 08:00:00,2015-06,No Rain
20434,2015,6,30,9,8.0,8.0,2.0,36.0,500.0,33.0,18.4,1001.6,14.3,0.2,W,1.8,Dongsi,2015-06-30 09:00:00,2015-06,No Rain
20435,2015,6,30,10,16.0,17.0,2.0,36.0,600.0,32.0,19.6,1001.6,14.4,0.2,WNW,2.2,Dongsi,2015-06-30 10:00:00,2015-06,No Rain
20467,2015,7,1,18,11.0,107.0,2.0,23.0,400.0,52.0,23.6,994.9,15.6,1.8,ESE,0.9,Dongsi,2015-07-01 18:00:00,2015-07,Light Rain
20538,2015,7,4,17,45.0,49.0,5.0,34.0,800.0,100.0,23.3,1004.4,12.3,0.2,SW,1.6,Dongsi,2015-07-04 17:00:00,2015-07,No Rain
20539,2015,7,4,18,35.0,44.0,6.0,39.0,800.0,97.0,21.4,1004.0,17.4,1.2,WSW,1.5,Dongsi,2015-07-04 18:00:00,2015-07,Light Rain
20540,2015,7,4,19,60.0,94.0,3.0,59.0,1200.0,67.0,21.8,1004.7,17.4,0.2,WNW,0.9,Dongsi,2015-07-04 19:00:00,2015-07,No Rain
20763,2015,7,14,2,60.0,238.0,3.0,22.0,700.0,117.0,25.1,998.5,19.0,0.3,WNW,5.6,Dongsi,2015-07-14 02:00:00,2015-07,No Rain
20765,2015,7,14,4,24.0,72.0,2.0,15.0,400.0,137.0,23.4,999.5,19.8,0.1,E,1.2,Dongsi,2015-07-14 04:00:00,2015-07,No Rain
20766,2015,7,14,5,32.0,35.0,2.0,22.0,600.0,118.0,23.4,999.3,19.8,0.1,NNE,1.0,Dongsi,2015-07-14 05:00:00,2015-07,No Rain
20810,2015,7,16,1,52.0,72.0,2.0,33.0,800.0,92.0,25.3,1002.7,18.7,0.1,WNW,1.8,Dongsi,2015-07-16 01:00:00,2015-07,No Rain
20811,2015,7,16,2,65.0,76.0,2.0,31.0,900.0,70.0,23.0,1004.7,20.0,1.3,SW,2.7,Dongsi,2015-07-16 02:00:00,2015-07,Light Rain
20812,2015,7,16,3,59.0,60.0,2.0,24.0,600.0,52.0,22.2,1003.0,19.6,3.7,NW,3.7,Dongsi,2015-07-16 03:00:00,2015-07,Light Rain
20814,2015,7,16,5,59.0,59.0,2.0,20.0,700.0,85.0,21.9,1003.6,19.6,0.1,NE,1.6,Dongsi,2015-07-16 05:00:00,2015-07,No Rain
20815,2015,7,16,6,61.0,61.0,2.0,20.0,800.0,90.0,20.9,1004.0,19.2,0.2,N,2.4,Dongsi,2015-07-16 06:00:00,2015-07,No Rain
20816,2015,7,16,7,48.0,48.0,2.0,21.0,1000.0,98.0,21.1,1003.7,19.6,0.1,N,3.3,Dongsi,2015-07-16 07:00:00,2015-07,No Rain
20834,2015,7,17,1,40.0,49.0,2.0,25.0,900.0,74.0,21.7,1004.1,20.2,3.2,NNE,1.7,Dongsi,2015-07-17 01:00:00,2015-07,Light Rain
20840,2015,7,17,7,28.0,28.0,2.0,40.0,700.0,25.0,21.7,1004.4,18.9,0.2,NW,1.1,Dongsi,2015-07-17 07:00:00,2015-07,No Rain
20841,2015,7,17,8,25.0,35.0,2.0,46.0,800.0,17.0,21.3,1004.2,18.7,0.8,N,1.6,Dongsi,2015-07-17 08:00:00,2015-07,No Rain
20842,2015,7,17,9,23.0,23.0,2.0,39.0,800.0,33.0,21.3,1004.2,19.0,0.3,NE,1.8,Dongsi,2015-07-17 09:00:00,2015-07,No Rain
20844,2015,7,17,11,32.0,32.0,2.0,42.0,900.0,31.0,20.9,1004.6,19.7,3.3,WNW,1.7,Dongsi,2015-07-17 11:00:00,2015-07,Light Rain
20845,2015,7,17,12,31.0,31.0,2.0,40.0,900.0,39.0,21.6,1004.0,19.5,0.8,NNW,1.9,Dongsi,2015-07-17 12:00:00,2015-07,No Rain
20846,2015,7,17,13,38.0,38.0,2.0,35.0,800.0,47.0,22.4,1003.3,19.8,0.1,NW,1.6,Dongsi,2015-07-17 13:00:00,2015-07,No Rain
20856,2015,7,17,23,100.0,100.0,2.0,53.0,1600.0,50.0,23.5,1002.3,21.0,0.7,NE,0.2,Dongsi,2015-07-17 23:00:00,2015-07,No Rain
20857,2015,7,18,0,106.0,106.0,2.0,49.0,1400.0,52.0,23.1,1002.1,20.8,0.1,NW,1.6,Dongsi,2015-07-18 00:00:00,2015-07,No Rain
20858,2015,7,18,1,110.0,110.0,2.0,40.0,1400.0,53.0,22.1,1001.7,20.9,9.5,N,2.0,Dongsi,2015-07-18 01:00:00,2015-07,Heavy Rain
20860,2015,7,18,3,48.0,48.0,2.0,19.0,700.0,45.0,20.8,1001.5,20.3,0.2,E,0.6,Dongsi,2015-07-18 03:00:00,2015-07,No Rain
20861,2015,7,18,4,63.0,63.0,2.0,27.0,700.0,54.0,21.2,1002.1,20.7,2.8,SE,0.8,Dongsi,2015-07-18 04:00:00,2015-07,Light Rain
20862,2015,7,18,5,62.0,62.0,2.0,23.0,900.0,55.0,21.3,1002.2,21.0,7.9,WSW,1.3,Dongsi,2015-07-18 05:00:00,2015-07,Moderate Rain
20863,2015,7,18,6,53.0,53.0,2.0,28.0,900.0,50.0,21.1,1002.1,20.6,7.2,NNE,1.5,Dongsi,2015-07-18 06:00:00,2015-07,Moderate Rain
20864,2015,7,18,7,48.0,48.0,2.0,24.0,900.0,62.0,21.1,1002.5,20.4,0.3,NNE,1.0,Dongsi,2015-07-18 07:00:00,2015-07,No Rain
20874,2015,7,18,17,44.0,44.0,2.0,17.0,700.0,132.0,22.0,1001.2,19.4,1.7,NE,1.1,Dongsi,2015-07-18 17:00:00,2015-07,Light Rain
20875,2015,7,18,18,25.0,25.0,2.0,25.0,800.0,107.0,23.6,1001.6,20.5,0.1,E,0.3,Dongsi,2015-07-18 18:00:00,2015-07,No Rain
20881,2015,7,19,0,52.0,52.0,2.0,42.0,1000.0,71.0,22.0,1002.9,21.0,0.1,ESE,0.8,Dongsi,2015-07-19 00:00:00,2015-07,No Rain
20883,2015,7,19,2,70.0,70.0,2.0,45.0,1100.0,50.0,21.5,1002.9,20.7,5.2,ESE,1.5,Dongsi,2015-07-19 02:00:00,2015-07,Moderate Rain
20884,2015,7,19,3,77.0,77.0,2.0,58.0,1100.0,27.0,21.5,1002.9,20.8,1.1,ENE,0.8,Dongsi,2015-07-19 03:00:00,2015-07,Light Rain
20886,2015,7,19,5,85.0,85.0,2.0,57.0,1100.0,18.0,21.8,1003.4,21.3,0.2,ESE,0.8,Dongsi,2015-07-19 05:00:00,2015-07,No Rain
20887,2015,7,19,6,84.0,84.0,2.0,50.0,1000.0,19.0,21.6,1003.9,20.9,0.7,NNE,0.9,Dongsi,2015-07-19 06:00:00,2015-07,No Rain
20888,2015,7,19,7,74.0,74.0,2.0,39.0,1000.0,26.0,21.9,1004.0,21.4,0.3,NNE,0.8,Dongsi,2015-07-19 07:00:00,2015-07,No Rain
20890,2015,7,19,9,80.0,80.0,2.0,46.0,1000.0,24.0,22.2,1004.4,21.4,0.2,NE,1.2,Dongsi,2015-07-19 09:00:00,2015-07,No Rain
20898,2015,7,19,17,68.0,68.0,2.0,24.0,1000.0,102.0,23.5,1003.2,21.2,0.3,ESE,3.8,Dongsi,2015-07-19 17:00:00,2015-07,No Rain
20903,2015,7,19,22,67.0,91.0,2.0,35.0,900.0,59.0,22.7,1005.1,21.3,0.2,N,1.6,Dongsi,2015-07-19 22:00:00,2015-07,No Rain
20906,2015,7,20,1,102.0,102.0,2.0,40.0,1100.0,27.0,22.8,1004.1,21.8,0.7,NE,0.9,Dongsi,2015-07-20 01:00:00,2015-07,No Rain
20908,2015,7,20,3,101.0,101.0,2.0,45.0,700.0,8.0,22.8,1003.9,22.0,0.1,E,1.4,Dongsi,2015-07-20 03:00:00,2015-07,No Rain
20909,2015,7,20,4,91.0,91.0,2.0,37.0,600.0,21.0,22.8,1004.0,22.0,2.2,SSE,0.3,Dongsi,2015-07-20 04:00:00,2015-07,Light Rain
20928,2015,7,20,23,145.0,145.0,2.0,42.0,1300.0,94.0,24.9,1002.5,22.4,0.9,SSE,2.6,Dongsi,2015-07-20 23:00:00,2015-07,No Rain
20929,2015,7,21,0,135.0,135.0,2.0,29.0,1100.0,99.0,24.3,1002.7,22.7,0.2,SE,0.9,Dongsi,2015-07-21 00:00:00,2015-07,No Rain
20950,2015,7,21,21,53.0,57.0,2.0,17.0,800.0,124.0,24.1,1000.4,20.2,0.3,SW,3.9,Dongsi,2015-07-21 21:00:00,2015-07,No Rain
20974,2015,7,22,21,13.0,34.0,2.0,15.0,600.0,123.0,22.4,1001.1,20.3,0.7,SE,1.3,Dongsi,2015-07-22 21:00:00,2015-07,No Rain
20975,2015,7,22,22,24.0,24.0,2.0,29.0,700.0,88.0,22.3,1001.2,20.8,1.2,ENE,1.3,Dongsi,2015-07-22 22:00:00,2015-07,Light Rain
20976,2015,7,22,23,27.0,27.0,2.0,40.0,800.0,72.0,21.7,1001.2,20.9,2.1,ESE,0.9,Dongsi,2015-07-22 23:00:00,2015-07,Light Rain
20978,2015,7,23,1,37.0,37.0,2.0,46.0,900.0,45.0,21.7,1000.4,21.0,0.1,ESE,1.1,Dongsi,2015-07-23 01:00:00,2015-07,No Rain
21095,2015,7,27,22,37.0,37.0,2.0,25.0,800.0,107.0,23.9,1001.5,22.7,2.3,ESE,1.2,Dongsi,2015-07-27 22:00:00,2015-07,Light Rain
21096,2015,7,27,23,31.0,31.0,2.0,16.0,700.0,112.0,24.2,1001.3,22.5,2.0,NW,1.7,Dongsi,2015-07-27 23:00:00,2015-07,Light Rain
21097,2015,7,28,0,31.0,31.0,2.0,16.0,700.0,111.0,23.7,1000.8,22.9,1.6,NE,1.1,Dongsi,2015-07-28 00:00:00,2015-07,Light Rain
21098,2015,7,28,1,36.0,36.0,2.0,19.0,800.0,103.0,23.8,1000.7,23.1,0.6,E,1.1,Dongsi,2015-07-28 01:00:00,2015-07,No Rain
21099,2015,7,28,2,57.0,57.0,2.0,22.0,900.0,63.0,23.7,1000.0,23.2,0.1,NNE,1.2,Dongsi,2015-07-28 02:00:00,2015-07,No Rain
21101,2015,7,28,4,66.0,66.0,2.0,22.0,500.0,65.0,23.3,998.3,22.8,0.2,E,0.9,Dongsi,2015-07-28 04:00:00,2015-07,No Rain
21102,2015,7,28,5,68.0,68.0,2.0,18.0,800.0,64.0,23.4,998.9,23.1,0.3,NE,1.1,Dongsi,2015-07-28 05:00:00,2015-07,No Rain
21105,2015,7,28,8,59.0,59.0,2.0,39.0,900.0,49.0,24.2,999.3,23.2,0.4,E,0.5,Dongsi,2015-07-28 08:00:00,2015-07,No Rain
21145,2015,7,30,0,42.0,42.0,2.0,13.0,800.0,91.0,24.8,998.4,22.1,6.9,WSW,2.7,Dongsi,2015-07-30 00:00:00,2015-07,Moderate Rain
21146,2015,7,30,1,25.0,25.0,2.0,11.0,600.0,98.0,24.2,997.4,22.8,0.1,SSE,1.4,Dongsi,2015-07-30 01:00:00,2015-07,No Rain
21157,2015,7,30,12,93.0,93.0,2.0,33.0,1700.0,67.0,25.5,1001.1,22.8,0.9,ENE,1.0,Dongsi,2015-07-30 12:00:00,2015-07,No Rain
21158,2015,7,30,13,99.0,99.0,2.0,29.0,1700.0,73.0,26.3,1000.1,23.0,0.1,ESE,2.4,Dongsi,2015-07-30 13:00:00,2015-07,No Rain
21159,2015,7,30,14,105.0,105.0,2.0,28.0,1600.0,86.0,27.1,1000.4,23.6,0.5,ENE,1.9,Dongsi,2015-07-30 14:00:00,2015-07,No Rain
21161,2015,7,30,16,96.0,96.0,2.0,31.0,1500.0,94.0,24.8,1000.1,23.8,5.9,ENE,1.7,Dongsi,2015-07-30 16:00:00,2015-07,Moderate Rain
21162,2015,7,30,17,88.0,88.0,2.0,48.0,1500.0,76.0,23.1,1000.4,22.3,4.7,E,3.6,Dongsi,2015-07-30 17:00:00,2015-07,Moderate Rain
21164,2015,7,30,19,22.0,22.0,2.0,21.0,600.0,99.0,22.0,1000.7,20.3,0.1,ENE,1.5,Dongsi,2015-07-30 19:00:00,2015-07,No Rain
21172,2015,7,31,3,20.0,20.0,2.0,12.0,500.0,80.0,21.7,1003.8,20.7,7.3,WSW,1.1,Dongsi,2015-07-31 03:00:00,2015-07,Moderate Rain
21173,2015,7,31,4,20.0,20.0,2.0,12.0,500.0,73.0,21.6,1003.6,20.8,5.2,NW,1.5,Dongsi,2015-07-31 04:00:00,2015-07,Moderate Rain
21174,2015,7,31,5,22.0,22.0,2.0,15.0,500.0,68.0,21.7,1003.7,20.7,0.6,NNE,0.9,Dongsi,2015-07-31 05:00:00,2015-07,No Rain
21177,2015,7,31,8,17.0,17.0,2.0,23.0,600.0,61.0,22.4,1004.5,20.7,0.2,N,1.7,Dongsi,2015-07-31 08:00:00,2015-07,No Rain
21214,2015,8,1,21,78.0,103.0,2.0,43.0,1500.0,36.0,24.1,1001.6,23.1,0.2,WNW,0.7,Dongsi,2015-08-01 21:00:00,2015-08,No Rain
21215,2015,8,1,22,87.0,87.0,2.0,39.0,1600.0,31.0,24.0,1001.9,23.1,0.9,NW,1.7,Dongsi,2015-08-01 22:00:00,2015-08,No Rain
21218,2015,8,2,1,53.0,53.0,2.0,14.0,1000.0,56.0,23.8,999.9,22.8,0.1,W,1.2,Dongsi,2015-08-02 01:00:00,2015-08,No Rain
21220,2015,8,2,3,77.0,77.0,2.0,6.0,900.0,56.0,23.4,999.0,22.9,0.1,E,1.3,Dongsi,2015-08-02 03:00:00,2015-08,No Rain
21221,2015,8,2,4,79.0,79.0,2.0,13.0,1000.0,45.0,23.0,999.2,22.7,0.7,E,1.3,Dongsi,2015-08-02 04:00:00,2015-08,No Rain
21222,2015,8,2,5,58.0,58.0,2.0,25.0,1100.0,19.0,23.0,999.8,22.7,0.4,E,0.5,Dongsi,2015-08-02 05:00:00,2015-08,No Rain
21223,2015,8,2,6,43.0,43.0,2.0,24.0,1300.0,18.0,23.0,999.6,22.7,0.3,ENE,1.3,Dongsi,2015-08-02 06:00:00,2015-08,No Rain
21224,2015,8,2,7,49.0,49.0,2.0,23.0,1200.0,16.0,23.0,999.5,22.7,0.1,ENE,1.1,Dongsi,2015-08-02 07:00:00,2015-08,No Rain
21225,2015,8,2,8,45.0,45.0,2.0,25.0,1000.0,16.0,23.3,999.1,23.0,1.1,E,0.9,Dongsi,2015-08-02 08:00:00,2015-08,Light Rain
21226,2015,8,2,9,42.0,42.0,2.0,30.0,1100.0,12.0,23.4,999.7,23.1,0.1,NNW,1.0,Dongsi,2015-08-02 09:00:00,2015-08,No Rain
